# step, temp, etotal, ke, tpot, evdw, ebond
1500 23518654130.763447 35277981196.14517 35277981196.14517 -2.7126767304949496e-41 0.0 -2.7126767304949496e-41
1510 23518654130.763447 35277981196.14517 35277981196.14517 -2.606588051365281e-41 0.0 -2.606588051365281e-41
1520 23518654130.763447 35277981196.14517 35277981196.14517 -2.505308404213181e-41 0.0 -2.505308404213181e-41
1530 23518654130.763447 35277981196.14517 35277981196.14517 -2.408590259274731e-41 0.0 -2.408590259274731e-41
1540 23518654130.763447 35277981196.14517 35277981196.14517 -2.3162003283284794e-41 0.0 -2.3162003283284794e-41
1550 23518654130.763447 35277981196.14517 35277981196.14517 -2.2279186600688722e-41 0.0 -2.2279186600688722e-41
1560 23518654130.763447 35277981196.14517 35277981196.14517 -2.1435377982880536e-41 0.0 -2.1435377982880536e-41
1570 23518654130.763447 35277981196.14517 35277981196.14517 -2.0628619981386333e-41 0.0 -2.0628619981386333e-41
1580 23518654130.763447 35277981196.14517 35277981196.14517 -1.985706496133228e-41 0.0 -1.985706496133228e-41
1590 23518654130.763447 35277981196.14517 35277981196.14517 -1.9118968298863308e-41 0.0 -1.9118968298863308e-41
1600 23518654130.763447 35277981196.14517 35277981196.14517 -1.8412682039236998e-41 0.0 -1.8412682039236998e-41
1610 23518654130.763447 35277981196.14517 35277981196.14517 -1.7736648981768778e-41 0.0 -1.7736648981768778e-41
1620 23518654130.763447 35277981196.14517 35277981196.14517 -1.7089397160477427e-41 0.0 -1.7089397160477427e-41
1630 23518654130.763447 35277981196.14517 35277981196.14517 -1.6469534691728286e-41 0.0 -1.6469534691728286e-41
1640 23518654130.763447 35277981196.14517 35277981196.14517 -1.5875744962413501e-41 0.0 -1.5875744962413501e-41
1650 23518654130.763447 35277981196.14517 35277981196.14517 -1.5306782134262543e-41 0.0 -1.5306782134262543e-41
1660 23518654130.763447 35277981196.14517 35277981196.14517 -1.4761466941760953e-41 0.0 -1.4761466941760953e-41
1670 23518654130.763447 35277981196.14517 35277981196.14517 -1.42386827628822e-41 0.0 -1.42386827628822e-41
1680 23518654130.763447 35277981196.14517 35277981196.14517 -1.3737371943424385e-41 0.0 -1.3737371943424385e-41
1690 23518654130.763447 35277981196.14517 35277981196.14517 -1.3256532357199827e-41 0.0 -1.3256532357199827e-41
1700 23518654130.763447 35277981196.14517 35277981196.14517 -1.279521418566401e-41 0.0 -1.279521418566401e-41
1710 23518654130.763447 35277981196.14517 35277981196.14517 -1.2352516901800593e-41 0.0 -1.2352516901800593e-41
1720 23518654130.763447 35277981196.14517 35277981196.14517 -1.1927586444210667e-41 0.0 -1.1927586444210667e-41
1730 23518654130.763447 35277981196.14517 35277981196.14517 -1.1519612568395993e-41 0.0 -1.1519612568395993e-41
1740 23518654130.763447 35277981196.14517 35277981196.14517 -1.1127826363184114e-41 0.0 -1.1127826363184114e-41
1750 23518654130.763447 35277981196.14517 35277981196.14517 -1.0751497921126817e-41 0.0 -1.0751497921126817e-41
1760 23518654130.763447 35277981196.14517 35277981196.14517 -1.0389934152516562e-41 0.0 -1.0389934152516562e-41
1770 23518654130.763447 35277981196.14517 35277981196.14517 -1.004247673341611e-41 0.0 -1.004247673341611e-41
1780 23518654130.763447 35277981196.14517 35277981196.14517 -9.708500178788529e-42 0.0 -9.708500178788529e-42
1790 23518654130.763447 35277981196.14517 35277981196.14517 -9.387410032453199e-42 0.0 -9.387410032453199e-42
1800 23518654130.763447 35277981196.14517 35277981196.14517 -9.078641166183312e-42 0.0 -9.078641166183312e-42
1810 23518654130.763447 35277981196.14517 35277981196.14517 -8.781656180804757e-42 0.0 -8.781656180804757e-42
1820 23518654130.763447 35277981196.14517 35277981196.14517 -8.495943902659722e-42 0.0 -8.495943902659722e-42
1830 23518654130.763447 35277981196.14517 35277981196.14517 -8.221017969263469e-42 0.0 -8.221017969263469e-42
1840 23518654130.763447 35277981196.14517 35277981196.14517 -7.956415498413202e-42 0.0 -7.956415498413202e-42
1850 23518654130.763447 35277981196.14517 35277981196.14517 -7.701695835406135e-42 0.0 -7.701695835406135e-42
1860 23518654130.763447 35277981196.14517 35277981196.14517 -7.456439373392307e-42 0.0 -7.456439373392307e-42
1870 23518654130.763447 35277981196.14517 35277981196.14517 -7.220246442229366e-42 0.0 -7.220246442229366e-42
1880 23518654130.763447 35277981196.14517 35277981196.14517 -6.992736261522508e-42 0.0 -6.992736261522508e-42
1890 23518654130.763447 35277981196.14517 35277981196.14517 -6.773545953826037e-42 0.0 -6.773545953826037e-42
1900 23518654130.763447 35277981196.14517 35277981196.14517 -6.562329614254983e-42 0.0 -6.562329614254983e-42
1910 23518654130.763447 35277981196.14517 35277981196.14517 -6.358757433006988e-42 0.0 -6.358757433006988e-42
1920 23518654130.763447 35277981196.14517 35277981196.14517 -6.162514867528983e-42 0.0 -6.162514867528983e-42
1930 23518654130.763447 35277981196.14517 35277981196.14517 -5.973301861280341e-42 0.0 -5.973301861280341e-42
1940 23518654130.763447 35277981196.14517 35277981196.14517 -5.790832106245749e-42 0.0 -5.790832106245749e-42
1950 23518654130.763447 35277981196.14517 35277981196.14517 -5.614832346538761e-42 0.0 -5.614832346538761e-42
